zipcode,name,fips_state_code,fips_county_code,latitude,longitude
99585,MARSHALL,2,270,61.878073,-162.084812
93040,PIRU,6,111,34.424363,-118.739086
47922,BROOK,18,111,40.8685,-87.358996
1238,LEE,25,3,42.299263,-73.232707
1540,OXFORD,25,27,42.117527,-71.8657
56447,EMILY,27,35,46.735697,-93.942055
63940,FISK,29,23,36.772841,-90.218018
65345,MORA,29,159,38.55338,-93.114175
7644,LODI,34,3,40.877999,-74.082659
28635,HAYS,37,193,36.315077,-81.131467
44420,GIRARD,39,155,41.160758,-80.693
45015,HAMILTON,39,17,39.367106,-84.55053
97122,HEBO,41,57,45.187837,-123.82026
15761,MENTCLE,42,63,40.625962,-78.893259
77616,FRED,48,457,30.564151,-94.207605
98198,SEATTLE,53,33,47.397521,-122.315
210,PORTSMOUTH,33,15,43.005895,-71.013202
211,PORTSMOUTH,33,15,43.005895,-71.013202
212,PORTSMOUTH,33,15,43.005895,-71.013202
213,PORTSMOUTH,33,15,43.005895,-71.013202
214,PORTSMOUTH,33,15,43.005895,-71.013202
215,PORTSMOUTH,33,15,43.005895,-71.013202
501,HOLTSVILLE,36,103,40.922326,-72.637078
544,HOLTSVILLE,36,103,40.922326,-72.637078
605,AGUADILLA,72,5,18.465162,-67.141486
611,ANGELES,72,141,18.279531,-66.80217
613,ARECIBO,72,13,18.458093,-66.732732
614,ARECIBO,72,13,18.429675,-66.674506
636,ROSARIO,72,125,18.113284,-67.039706
681,MAYAGUEZ,72,97,18.219023,-67.508068
694,VEGA BAJA,72,145,18.443109,-66.398302
721,PALMER,72,119,18.364161,-65.778288
726,CAGUAS,72,25,18.212965,-66.058033
732,PONCE,72,113,18.021781,-66.613742
733,PONCE,72,113,18.019331,-66.619165
734,PONCE,72,113,17.999499,-66.643934
737,CAYEY,72,35,18.102967,-66.139274
742,ROOSEVELT ROADS,72,37,18.264872,-65.594769
744,RIO BLANCO,72,103,18.206329,-65.743058
785,GUAYAMA,72,59,18.018822,-66.795603
786,LA PLATA,72,9,18.128092,-66.268717
792,HUMACAO,72,69,18.138029,-65.788499
801,ST THOMAS,78,30,18.322285,-64.963715
