duration_seconds_int,comments,city,date_posted,longitude,state,duration_seconds,duration_hours,id,shape,datetime,latitude,country
2700,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,san marcos,2004-04-27,-97.9411111,tx,2700,45 minutes,1,cylinder,1949-10-10 20:30:00.000000,29.8830556,us
7200,1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.,lackland afb,2005-12-16,-98.581082,tx,7200,1-2 hrs,2,light,1949-10-10 21:00:00.000000,29.38421,
20,My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home,edna,2004-01-17,-96.6458333,tx,20,1/2 hour,4,circle,1956-10-10 21:00:00.000000,28.9783333,us
30,i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind,san antonio,2005-02-24,-98.4933333,tx,30,30 seconds,26,other,1977-10-10 12:00:00.000000,29.4238889,us
180,Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980.,houston,2005-04-16,-95.3630556,tx,180,3 min,33,sphere,1980-10-10 19:00:00.000000,29.7630556,us
300,Strange shape shifting craft of pure light energy.,dallas,2002-10-28,-96.8,tx,300,5 minutes,34,unknown,1980-10-10 22:00:00.000000,32.7833333,us
60,2 experience with unkown,houston,2012-04-18,-95.3630556,tx,60,1 minute,37,circle,1984-10-10 05:00:00.000000,29.7630556,us
10,A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.,stafford,2012-04-18,-95.5575,tx,10,10 seconds,53,unknown,1992-10-10 18:00:00.000000,29.6158333,us
30,Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.,weatherford,2005-09-02,-97.7969444,tx,30,30 seconds,55,unknown,1992-10-10 22:00:00.000000,32.7591667,us
3600,ufo chased by fighter jet over Rio Grande Valley. Seen on news,mercedies,2011-12-12,-97.913611,tx,3600,1 hour,59,cigar,1994-10-10 15:00:00.000000,26.149798,
10,group of   twinkling lights at high altitude,dallas,2001-11-20,-96.8,tx,10,10 seconds,86,other,1999-10-10 06:00:00.000000,32.7833333,us
3600,IN form of diamond with multi colored lights that acted like disco light except one.  theone light was like a brite star and would resp,pennington,2007-02-01,-95.2352778,tx,3600,one hour,156,diamond,2006-10-10 01:00:00.000000,31.1911111,us
300,Huge aircraft with diagnally aligned white lights moving slowly and loudly through the night.,wolfforth,2006-10-30,-102.0086111,tx,300,5 min,165,disk,2006-10-10 22:50:00.000000,33.5058333,us
3,pulsing flash recurring at 2 second intervals 3 times along the same trajectory along 90 degrees of sky,austin,2007-11-28,-97.7427778,tx,3,3 seconds,174,flash,2007-10-10 19:00:00.000000,30.2669444,us
35,Large Boomerang formation of lights over Houston&#44 Beltway 8 &amp; Westheimer moving north to south 10/10/07&#44 9:43 PM.,houston,2007-11-28,-95.3630556,tx,35,35 seconds,180,formation,2007-10-10 21:43:00.000000,29.7630556,us
